cleaning_status,platinum_prompt,platinum_prompt_no_cot,platinum_target,original_target,platinum_parsing_strategy,ID,Body,Question,Equation,Answer,Type,question_concat,bodmas_question,elog_question,trigno_question
consensus,"Solve the following math word problem.

After finding some bottle caps at the park danny has 32 bottle caps in his collection. If he had 25 bottle caps in his collection earlier
How many bottle caps did he find at the park?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

After finding some bottle caps at the park danny has 32 bottle caps in his collection. If he had 25 bottle caps in his collection earlier
How many bottle caps did he find at the park?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['7'],['7'],math,chal-734,After finding some bottle caps at the park danny has 32 bottle caps in his collection. If he had 25 bottle caps in his collection earlier,How many bottle caps did he find at the park?,( 32.0 - 25.0 ),7,Subtraction,After finding some bottle caps at the park danny has 32 bottle caps in his collection. If he had 25 bottle caps in his collection earlier How many bottle caps did he find at the park?,After finding some bottle caps at the park danny has (33-(72/72))  bottle caps in his collection. If he had 25 bottle caps in his collection earlier How many bottle caps did he find at the park?,After finding some bottle caps at the park danny has EXPONENTIAL(LOG(32))  bottle caps in his collection. If he had 25 bottle caps in his collection earlier How many bottle caps did he find at the park?,After finding some bottle caps at the park danny has (33-(cosec^2(40) - cot^2(40)))  bottle caps in his collection. If he had 25 bottle caps in his collection earlier How many bottle caps did he find at the park?
consensus,"Solve the following math word problem.

Julia played tag with 15 kids on monday, 18 kids on tuesday and 97 kids on wednesday.
How many kids did she play with on monday and tuesday?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Julia played tag with 15 kids on monday, 18 kids on tuesday and 97 kids on wednesday.
How many kids did she play with on monday and tuesday?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['33'],['33'],math,chal-411,"Julia played tag with 15 kids on monday, 18 kids on tuesday and 97 kids on wednesday.",How many kids did she play with on monday and tuesday?,( 15.0 + 18.0 ),33,Addition,"Julia played tag with 15 kids on monday, 18 kids on tuesday and 97 kids on wednesday. How many kids did she play with on monday and tuesday?","Julia played tag with 15 kids on monday, 18 kids on tuesday and (97.0*(0.5*2))  kids on wednesday. How many kids did she play with on monday and tuesday?","Julia played tag with 15 kids on monday, 18 kids on tuesday and LOG(EXPONENTIAL(97))  kids on wednesday. How many kids did she play with on monday and tuesday?","Julia played tag with 15 kids on monday, 18 kids on tuesday and (97/(cosec^2(45) - cot^2(45)))  kids on wednesday. How many kids did she play with on monday and tuesday?"
consensus,"Solve the following math word problem.

In Haley's class some boys love to play marbles. If Haley has 10 marbles and she gave 5 marbles to each boy
How many boys did she give the marbles to?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

In Haley's class some boys love to play marbles. If Haley has 10 marbles and she gave 5 marbles to each boy
How many boys did she give the marbles to?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['2'],['2'],math,chal-984,In Haley's class some boys love to play marbles. If Haley has 10 marbles and she gave 5 marbles to each boy,How many boys did she give the marbles to?,( 10.0 / 5.0 ),2,Common-Division,In Haley's class some boys love to play marbles. If Haley has 10 marbles and she gave 5 marbles to each boy How many boys did she give the marbles to?,In Haley's class some boys love to play marbles. If Haley has (11-(78/78))  marbles and she gave 5 marbles to each boy How many boys did she give the marbles to?,In Haley's class some boys love to play marbles. If Haley has LOG(EXPONENTIAL(10))  marbles and she gave 5 marbles to each boy How many boys did she give the marbles to?,In Haley's class some boys love to play marbles. If Haley has (10.0*(cos^2(62) + sin^2(62)))  marbles and she gave 5 marbles to each boy How many boys did she give the marbles to?
consensus,"Solve the following math word problem.

After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feet
How much deeper is the water than Dean's height?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feet
How much deeper is the water than Dean's height?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['81'],['81'],math,chal-147,After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feet,How much deeper is the water than Dean's height?,( ( 10.0 * 9.0 ) - 9.0 ),81,Subtraction,After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feet How much deeper is the water than Dean's height?,After resting they decided to go for a swim. If the depth of the water is (11-(0.5*2))  times Dean's height and he stands at 9 feet How much deeper is the water than Dean's height?,After resting they decided to go for a swim. If the depth of the water is LOG(EXPONENTIAL(10))  times Dean's height and he stands at 9 feet How much deeper is the water than Dean's height?,After resting they decided to go for a swim. If the depth of the water is (10/(cosec^2(40) - cot^2(40)))  times Dean's height and he stands at 9 feet How much deeper is the water than Dean's height?
consensus,"Solve the following math word problem.

A book has 3 chapters. The first chapter is 91 pages long the second chapter is 23 pages long and the third chapter is 25 pages long.
How many more pages does the first chapter have than the second chapter?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

A book has 3 chapters. The first chapter is 91 pages long the second chapter is 23 pages long and the third chapter is 25 pages long.
How many more pages does the first chapter have than the second chapter?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['68'],['68'],math,chal-544,A book has 3 chapters. The first chapter is 91 pages long the second chapter is 23 pages long and the third chapter is 25 pages long.,How many more pages does the first chapter have than the second chapter?,( 91.0 - 23.0 ),68,Subtraction,A book has 3 chapters. The first chapter is 91 pages long the second chapter is 23 pages long and the third chapter is 25 pages long. How many more pages does the first chapter have than the second chapter?,A book has 3 chapters. The first chapter is 91 pages long the second chapter is 23 pages long and the third chapter is (26-(23/23))  pages long. How many more pages does the first chapter have than the second chapter?,A book has 3 chapters. The first chapter is 91 pages long the second chapter is 23 pages long and the third chapter is EXPONENTIAL(LOG(25))  pages long. How many more pages does the first chapter have than the second chapter?,A book has 3 chapters. The first chapter is 91 pages long the second chapter is 23 pages long and the third chapter is (26-(sec^2(38)-tan^2(38)))  pages long. How many more pages does the first chapter have than the second chapter?
consensus,"Solve the following math word problem.

After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day
How many more visitors visited the Buckingham palace on that day than on the previous day?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day
How many more visitors visited the Buckingham palace on that day than on the previous day?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['22'],['22'],math,chal-90,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day",How many more visitors visited the Buckingham palace on that day than on the previous day?,( 317.0 - 295.0 ),22,Subtraction,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?","After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were (294+(38/38))  visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?","After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were LOG(EXPONENTIAL(295))  visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?","After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were (295.0*(cosec^2(41) - cot^2(41)))  visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?"
consensus,"Solve the following math word problem.

The Razorback t-shirt shop made $ 51 dollars from selling 3 t-shirt during the Arkansas and Texas tech game they.
What is the cost of each t-shirt?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

The Razorback t-shirt shop made $ 51 dollars from selling 3 t-shirt during the Arkansas and Texas tech game they.
What is the cost of each t-shirt?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['17'],['17'],math,chal-88,The Razorback t-shirt shop made $ 51 dollars from selling 3 t-shirt during the Arkansas and Texas tech game they.,What is the cost of each t-shirt?,( 51.0 / 3.0 ),17,Common-Division,The Razorback t-shirt shop made $ 51 dollars from selling 3 t-shirt during the Arkansas and Texas tech game they. What is the cost of each t-shirt?,The Razorback t-shirt shop made $ 51 dollars from selling (2+(0.5*2))  t-shirt during the Arkansas and Texas tech game they. What is the cost of each t-shirt?,The Razorback t-shirt shop made $ 51 dollars from selling EXPONENTIAL(LOG(3))  t-shirt during the Arkansas and Texas tech game they. What is the cost of each t-shirt?,The Razorback t-shirt shop made $ 51 dollars from selling (3/(cos^2(80) + sin^2(80)))  t-shirt during the Arkansas and Texas tech game they. What is the cost of each t-shirt?
consensus,"Solve the following math word problem.

Jack received 3 emails in the morning, 4 emails in the afternoon and 8 emails in the evening.
How many emails did Jack receive in the morning and evening?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Jack received 3 emails in the morning, 4 emails in the afternoon and 8 emails in the evening.
How many emails did Jack receive in the morning and evening?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['11'],['11'],math,chal-855,"Jack received 3 emails in the morning, 4 emails in the afternoon and 8 emails in the evening.",How many emails did Jack receive in the morning and evening?,( 3.0 + 8.0 ),11,Addition,"Jack received 3 emails in the morning, 4 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the morning and evening?","Jack received 3 emails in the morning, 4 emails in the afternoon and (9-(39/39))  emails in the evening. How many emails did Jack receive in the morning and evening?","Jack received 3 emails in the morning, 4 emails in the afternoon and LOG(EXPONENTIAL(8))  emails in the evening. How many emails did Jack receive in the morning and evening?","Jack received 3 emails in the morning, 4 emails in the afternoon and (8/(cosec^2(41) - cot^2(41)))  emails in the evening. How many emails did Jack receive in the morning and evening?"
verified,"Solve the following math word problem.

Lawrence county has 313473 kids. During summer break 274865 kids stay home and the rest go to camp.
How many kids go to the camp during the break?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Lawrence county has 313473 kids. During summer break 274865 kids stay home and the rest go to camp.
How many kids go to the camp during the break?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['38608'],['38608'],math,chal-664,Lawrence county has 313473 kids. During summer break 274865 kids stay home and the rest go to camp.,How many kids go to the camp during the break?,( 313473.0 - 274865.0 ),38608,Subtraction,Lawrence county has 313473 kids. During summer break 274865 kids stay home and the rest go to camp. How many kids go to the camp during the break?,Lawrence county has 313473 kids. During summer break (274866-(0.5*2))  kids stay home and the rest go to camp. How many kids go to the camp during the break?,Lawrence county has 313473 kids. During summer break LOG(EXPONENTIAL(274865))  kids stay home and the rest go to camp. How many kids go to the camp during the break?,Lawrence county has 313473 kids. During summer break (274866-(sec^2(99)-tan^2(99)))  kids stay home and the rest go to camp. How many kids go to the camp during the break?
consensus,"Solve the following math word problem.

The grasshopper and the frog had a jumping contest. The grasshopper jumped 35 inches. The grasshopper jumped 4 inches farther than the frog.
How much did they jump altogether?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

The grasshopper and the frog had a jumping contest. The grasshopper jumped 35 inches. The grasshopper jumped 4 inches farther than the frog.
How much did they jump altogether?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['66'],['66'],math,chal-480,The grasshopper and the frog had a jumping contest. The grasshopper jumped 35 inches. The grasshopper jumped 4 inches farther than the frog.,How much did they jump altogether?,( 35.0 + ( 35.0 - 4.0 ) ),66,Subtraction,The grasshopper and the frog had a jumping contest. The grasshopper jumped 35 inches. The grasshopper jumped 4 inches farther than the frog. How much did they jump altogether?,The grasshopper and the frog had a jumping contest. The grasshopper jumped 35 inches. The grasshopper jumped (3+(0.5*2))  inches farther than the frog. How much did they jump altogether?,The grasshopper and the frog had a jumping contest. The grasshopper jumped 35 inches. The grasshopper jumped LOG(EXPONENTIAL(4))  inches farther than the frog. How much did they jump altogether?,The grasshopper and the frog had a jumping contest. The grasshopper jumped 35 inches. The grasshopper jumped (4.0*(cos^2(50) + sin^2(50)))  inches farther than the frog. How much did they jump altogether?
consensus,"Solve the following math word problem.

Winter is almost here and most animals are migrating to warmer countries. There are 3 bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter.
How many bird families were left near the mountain?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Winter is almost here and most animals are migrating to warmer countries. There are 3 bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter.
How many bird families were left near the mountain?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['27'],['27'],math,chal-251,Winter is almost here and most animals are migrating to warmer countries. There are 3 bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter.,How many bird families were left near the mountain?,( ( 3.0 - 2.0 ) + 26.0 ),27,Addition,Winter is almost here and most animals are migrating to warmer countries. There are 3 bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. How many bird families were left near the mountain?,Winter is almost here and most animals are migrating to warmer countries. There are (3/(89/89))  bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. How many bird families were left near the mountain?,Winter is almost here and most animals are migrating to warmer countries. There are EXPONENTIAL(LOG(3))  bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. How many bird families were left near the mountain?,Winter is almost here and most animals are migrating to warmer countries. There are (4-(sec^2(17)-tan^2(17)))  bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. How many bird families were left near the mountain?
consensus,"Solve the following math word problem.

Adam could fit 8 action figures and 10 cabinets on each shelf in his room. His room has 4 shelves.
How many total items could his shelves hold?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Adam could fit 8 action figures and 10 cabinets on each shelf in his room. His room has 4 shelves.
How many total items could his shelves hold?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['72'],['72'],math,chal-218,Adam could fit 8 action figures and 10 cabinets on each shelf in his room. His room has 4 shelves.,How many total items could his shelves hold?,( ( 8.0 + 10.0 ) * 4.0 ),72,Multiplication,Adam could fit 8 action figures and 10 cabinets on each shelf in his room. His room has 4 shelves. How many total items could his shelves hold?,Adam could fit (8/(0.5*2))  action figures and 10 cabinets on each shelf in his room. His room has 4 shelves. How many total items could his shelves hold?,Adam could fit EXPONENTIAL(LOG(8))  action figures and 10 cabinets on each shelf in his room. His room has 4 shelves. How many total items could his shelves hold?,Adam could fit (8/(cosec^2(80) - cot^2(80)))  action figures and 10 cabinets on each shelf in his room. His room has 4 shelves. How many total items could his shelves hold?
consensus,"Solve the following math word problem.

Robin's hair was 16 inches long. He cut off 11 inches. Then it again grew by 12 inches.
How long is his hair now?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Robin's hair was 16 inches long. He cut off 11 inches. Then it again grew by 12 inches.
How long is his hair now?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['17'],['17'],math,chal-675,Robin's hair was 16 inches long. He cut off 11 inches. Then it again grew by 12 inches.,How long is his hair now?,( ( 16.0 - 11.0 ) + 12.0 ),17,Addition,Robin's hair was 16 inches long. He cut off 11 inches. Then it again grew by 12 inches. How long is his hair now?,Robin's hair was 16 inches long. He cut off 11 inches. Then it again grew by (13-(59/59))  inches. How long is his hair now?,Robin's hair was 16 inches long. He cut off 11 inches. Then it again grew by EXPONENTIAL(LOG(12))  inches. How long is his hair now?,Robin's hair was 16 inches long. He cut off 11 inches. Then it again grew by (12.0*(sec^2(53)-tan^2(53)))  inches. How long is his hair now?
consensus,"Solve the following math word problem.

Friends of Katie had 57 games and she had 63 ds games.
How many more games does Katie have than her friends?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Friends of Katie had 57 games and she had 63 ds games.
How many more games does Katie have than her friends?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['6'],['6'],math,chal-993,Friends of Katie had 57 games and she had 63 ds games.,How many more games does Katie have than her friends?,( 63.0 - 57.0 ),6,Subtraction,Friends of Katie had 57 games and she had 63 ds games. How many more games does Katie have than her friends?,Friends of Katie had 57 games and she had (62+(80/80))  ds games. How many more games does Katie have than her friends?,Friends of Katie had 57 games and she had EXPONENTIAL(LOG(63))  ds games. How many more games does Katie have than her friends?,Friends of Katie had 57 games and she had (62+(cosec^2(8) - cot^2(8)))  ds games. How many more games does Katie have than her friends?
consensus,"Solve the following math word problem.

Lucy went to the grocery store. She bought 10 packs of cookie and 4 packs of cake.
How many more packs of cookie did she buy over cake?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Lucy went to the grocery store. She bought 10 packs of cookie and 4 packs of cake.
How many more packs of cookie did she buy over cake?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['6'],['6'],math,chal-700,Lucy went to the grocery store. She bought 10 packs of cookie and 4 packs of cake.,How many more packs of cookie did she buy over cake?,( 10.0 - 4.0 ),6,Subtraction,Lucy went to the grocery store. She bought 10 packs of cookie and 4 packs of cake. How many more packs of cookie did she buy over cake?,Lucy went to the grocery store. She bought (11-(0.5*2))  packs of cookie and 4 packs of cake. How many more packs of cookie did she buy over cake?,Lucy went to the grocery store. She bought LOG(EXPONENTIAL(10))  packs of cookie and 4 packs of cake. How many more packs of cookie did she buy over cake?,Lucy went to the grocery store. She bought (10.0*(cosec^2(90) - cot^2(90)))  packs of cookie and 4 packs of cake. How many more packs of cookie did she buy over cake?
consensus,"Solve the following math word problem.

6 red peaches, 90 yellow peaches and 16 green peaches are in the basket.
How many red and green peaches are in the basket?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

6 red peaches, 90 yellow peaches and 16 green peaches are in the basket.
How many red and green peaches are in the basket?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['22'],['22'],math,chal-374,"6 red peaches, 90 yellow peaches and 16 green peaches are in the basket.",How many red and green peaches are in the basket?,( 6.0 + 16.0 ),22,Addition,"6 red peaches, 90 yellow peaches and 16 green peaches are in the basket. How many red and green peaches are in the basket?","6 red peaches, (90.0*(0.5*2))  yellow peaches and 16 green peaches are in the basket. How many red and green peaches are in the basket?","6 red peaches, EXPONENTIAL(LOG(90))  yellow peaches and 16 green peaches are in the basket. How many red and green peaches are in the basket?","6 red peaches, (91-(cos^2(8) + sin^2(8)))  yellow peaches and 16 green peaches are in the basket. How many red and green peaches are in the basket?"
verified,"Solve the following math word problem.

Mary is baking a cake. The recipe calls for 10 cups of flour 2 cups of sugar and 80 cups of salt. She already put in 7 cups of flour.
How many more cups of flour than cups of sugar does she need to add now?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Mary is baking a cake. The recipe calls for 10 cups of flour 2 cups of sugar and 80 cups of salt. She already put in 7 cups of flour.
How many more cups of flour than cups of sugar does she need to add now?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['1'],['1'],math,chal-968,Mary is baking a cake. The recipe calls for 10 cups of flour 2 cups of sugar and 80 cups of salt. She already put in 7 cups of flour.,How many more cups of flour than cups of sugar does she need to add now?,( ( 10.0 - 7.0 ) - 2.0 ),1,Subtraction,Mary is baking a cake. The recipe calls for 10 cups of flour 2 cups of sugar and 80 cups of salt. She already put in 7 cups of flour. How many more cups of flour than cups of sugar does she need to add now?,Mary is baking a cake. The recipe calls for 10 cups of flour (2/(2/2))  cups of sugar and 80 cups of salt. She already put in 7 cups of flour. How many more cups of flour than cups of sugar does she need to add now?,Mary is baking a cake. The recipe calls for 10 cups of flour LOG(EXPONENTIAL(2))  cups of sugar and 80 cups of salt. She already put in 7 cups of flour. How many more cups of flour than cups of sugar does she need to add now?,Mary is baking a cake. The recipe calls for 10 cups of flour (3-(sec^2(47)-tan^2(47)))  cups of sugar and 80 cups of salt. She already put in 7 cups of flour. How many more cups of flour than cups of sugar does she need to add now?
consensus,"Solve the following math word problem.

Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend.
How many more cookies did he eat than those he gave to his friend?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend.
How many more cookies did he eat than those he gave to his friend?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['1'],['1'],math,chal-94,Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend.,How many more cookies did he eat than those he gave to his friend?,( 14.0 - 13.0 ),1,Subtraction,Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend. How many more cookies did he eat than those he gave to his friend?,Paco had 17 cookies. He ate 14 cookies and gave (12+(0.5*2))  of them to his friend. How many more cookies did he eat than those he gave to his friend?,Paco had 17 cookies. He ate 14 cookies and gave LOG(EXPONENTIAL(13))  of them to his friend. How many more cookies did he eat than those he gave to his friend?,Paco had 17 cookies. He ate 14 cookies and gave (12+(cosec^2(53) - cot^2(53)))  of them to his friend. How many more cookies did he eat than those he gave to his friend?
consensus,"Solve the following math word problem.

In a school there are 315 girls and 309 boys. There are also 772 teachers
How many people are there in that school?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

In a school there are 315 girls and 309 boys. There are also 772 teachers
How many people are there in that school?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['1396'],['1396'],math,chal-983,In a school there are 315 girls and 309 boys. There are also 772 teachers,How many people are there in that school?,( ( 315.0 + 309.0 ) + 772.0 ),1396,Addition,In a school there are 315 girls and 309 boys. There are also 772 teachers How many people are there in that school?,In a school there are 315 girls and (309.0*(69/69))  boys. There are also 772 teachers How many people are there in that school?,In a school there are 315 girls and LOG(EXPONENTIAL(309))  boys. There are also 772 teachers How many people are there in that school?,In a school there are 315 girls and (309.0*(sec^2(87)-tan^2(87)))  boys. There are also 772 teachers How many people are there in that school?
consensus,"Solve the following math word problem.

There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets
How many baskets of peaches are there?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets
How many baskets of peaches are there?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['1'],['1'],math,chal-33,There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets,How many baskets of peaches are there?,( 7.0 / ( 4.0 + 3.0 ) ),1,Common-Division,There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets How many baskets of peaches are there?,There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of (6+(0.5*2))  peaches in all baskets How many baskets of peaches are there?,There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of EXPONENTIAL(LOG(7))  peaches in all baskets How many baskets of peaches are there?,There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of (6+(cosec^2(15) - cot^2(15)))  peaches in all baskets How many baskets of peaches are there?
verified,"Solve the following math word problem.

Jessie currently weighs 27 kilograms. After she started to go jogging everyday she lost 101 kilograms.
How much did she weigh before starting to jog?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Jessie currently weighs 27 kilograms. After she started to go jogging everyday she lost 101 kilograms.
How much did she weigh before starting to jog?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['128'],['128'],math,chal-541,Jessie currently weighs 27 kilograms. After she started to go jogging everyday she lost 101 kilograms.,How much did she weigh before starting to jog?,( 27.0 + 101.0 ),128,Addition,Jessie currently weighs 27 kilograms. After she started to go jogging everyday she lost 101 kilograms. How much did she weigh before starting to jog?,Jessie currently weighs 27 kilograms. After she started to go jogging everyday she lost (100+(65/65))  kilograms. How much did she weigh before starting to jog?,Jessie currently weighs 27 kilograms. After she started to go jogging everyday she lost EXPONENTIAL(LOG(101))  kilograms. How much did she weigh before starting to jog?,Jessie currently weighs 27 kilograms. After she started to go jogging everyday she lost (102-(cosec^2(29) - cot^2(29)))  kilograms. How much did she weigh before starting to jog?
consensus,"Solve the following math word problem.

David did 51 push-ups in gym class today. David did 49 more push-ups than Zachary.
How many push-ups did Zachary and David do altogether?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

David did 51 push-ups in gym class today. David did 49 more push-ups than Zachary.
How many push-ups did Zachary and David do altogether?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['53'],['53'],math,chal-914,David did 51 push-ups in gym class today. David did 49 more push-ups than Zachary.,How many push-ups did Zachary and David do altogether?,( ( 51.0 + 51.0 ) - 49.0 ),53,Subtraction,David did 51 push-ups in gym class today. David did 49 more push-ups than Zachary. How many push-ups did Zachary and David do altogether?,David did (52-(72/72))  push-ups in gym class today. David did 49 more push-ups than Zachary. How many push-ups did Zachary and David do altogether?,David did LOG(EXPONENTIAL(51))  push-ups in gym class today. David did 49 more push-ups than Zachary. How many push-ups did Zachary and David do altogether?,David did (51.0*(cosec^2(3) - cot^2(3)))  push-ups in gym class today. David did 49 more push-ups than Zachary. How many push-ups did Zachary and David do altogether?
consensus,"Solve the following math word problem.

In a school there are 362 boys and 257 girls. 403 more girls joined the school.
How many more girls than boys does the school have?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

In a school there are 362 boys and 257 girls. 403 more girls joined the school.
How many more girls than boys does the school have?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['298'],['298'],math,chal-754,In a school there are 362 boys and 257 girls. 403 more girls joined the school.,How many more girls than boys does the school have?,( ( 257.0 + 403.0 ) - 362.0 ),298,Subtraction,In a school there are 362 boys and 257 girls. 403 more girls joined the school. How many more girls than boys does the school have?,In a school there are (362.0*(0.5*2))  boys and 257 girls. 403 more girls joined the school. How many more girls than boys does the school have?,In a school there are LOG(EXPONENTIAL(362))  boys and 257 girls. 403 more girls joined the school. How many more girls than boys does the school have?,In a school there are (362/(cos^2(17) + sin^2(17)))  boys and 257 girls. 403 more girls joined the school. How many more girls than boys does the school have?
